,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze
Child utterance,"[1, 1.0]","[3, 0.5424453389001616]","[3, 0.5351293883108978]","[1, 0.2119520291710743]","[1, 0.4838109851940551]","[3, 0.6825837664603547]","[4, 0.878473010457356]","[2, 0.5909372501902947]","[5, 0.2000865030221952]","[5, 0.3458821992445795]","[1, 0.5221303017914656]","[2, 0.0011027280282436566]","[5, 0.0160497677457499]","[4, 0.2384266786878319]","[4, 0.0005410998252529589]"
Child gaze,"[4, 0.6856720947510265]","[1, 1.0]","[1, 1.0]","[5, 0.3677693875549241]","[2, 0.6509026737942476]","[4, 0.010042937785599998]","[1, 1.0]","[2, 0.408470529615251]","[1, 1.0]","[2, 0.9931742946820459]","[5, 0.6000754651751687]","[2, 0.9348710087244488]","[4, 0.3237041471505493]","[5, 0.7009443803137279]","[5, 0.8977961277106011]"
Child gesture,"[2, 0.34132269959376765]","[1, 1.0]","[1, 1.0]","[2, 0.024544736681678]","[2, 0.01094544462359361]","[1, 1.0]","[1, 1.0]","[4, 0.9687675086277261]","[4, 0.9007672786425929]","[3, 0.024982783876887724]","[4, 0.24616781146037395]","[1, 1.0]","[2, 0.09983905852973737]","[1, 0.3880890541352987]","[4, 0.9587985523715765]"
Parent utterance,"[3, 0.5261318720641748]","[1, 0.4147480665811554]","[2, 0.2760270382745411]","[1, 1.0]","[5, 0.5719257375284967]","[1, 0.5652376020454768]","[4, 3.498573452090938e-05]","[2, 0.014184757399875552]","[1, 0.09717698577289112]","[3, 0.2777068407926734]","[4, 0.23551543674097045]","[2, 0.9458028548198733]","[5, 0.05711846468425384]","[2, 0.5187814383688394]","[1, 0.5643782765381888]"
Verbal scaffolding,"[2, 0.34996756918283833]","[1, 0.3661696576349729]","[2, 0.21921571809369422]","[1, 0.3206135963388184]","[1, 1.0]","[3, 0.4068929899949755]","[2, 3.405382894926425e-06]","[2, 0.02792740781423417]","[1, 0.06880820349075994]","[3, 0.19890282457667732]","[4, 0.07590466763069625]","[2, 0.9418990455235626]","[5, 0.6544572774169877]","[2, 0.7222699543534888]","[2, 0.3902749591525186]"
Parent gaze,"[1, 0.28888918885557135]","[3, 1.2529650157965022e-05]","[1, 1.0]","[1, 0.1373108283307088]","[1, 0.41392946742748116]","[1, 1.0]","[3, 0.6069812091673912]","[3, 0.7549650199363048]","[1, 1.0]","[4, 0.08867342277710985]","[3, 0.2684804115653059]","[5, 0.01524620968510252]","[5, 0.7656712687921525]","[2, 0.39785320508270916]","[3, 0.8420914074231521]"
Parent gesture,"[1, 0.3029335815265177]","[1, 1.0]","[1, 1.0]","[2, 0.3647507070339173]","[1, 0.12564964626954303]","[4, 0.14863141382839504]","[1, 1.0]","[1, 0.008337168518224036]","[1, 1.0]","[4, 0.16046956990177522]","[5, 0.01425110588937419]","[1, 1.0]","[1, 0.8988221821453045]","[3, 0.11436441708203125]","[3, 0.38899865168328956]"
Child prop manipulation,"[5, 0.6387344558381229]","[2, 0.4919366104755797]","[4, 0.12077818181881281]","[5, 0.07328498511753066]","[5, 0.07646056286099688]","[2, 0.6560140746831813]","[3, 0.0027983268558555738]","[1, 1.0]","[3, 0.028108936466162276]","[4, 0.10137037903016509]","[3, 0.04228004853704893]","[1, 1.0]","[1, 0.18918240193086594]","[5, 0.3792746897442183]","[3, 0.8684876397605332]"
Parent prop manipulation,"[5, 0.03717860494486573]","[1, 1.0]","[5, 8.474830922339187e-05]","[1, 0.11794163538760676]","[1, 0.08466612732756318]","[1, 1.0]","[1, 1.0]","[1, 0.03109179121649946]","[1, 1.0]","[1, 1.0]","[1, 0.11589286684278784]","[1, 1.0]","[3, 0.001855907887772147]","[5, 0.00452735859933377]","[1, 1.0]"
robot pointing,"[1, 0.3435166511392005]","[5, 0.5544579557369188]","[2, 0.08966128263390422]","[3, 0.504847705711253]","[3, 0.41580104760220793]","[5, 0.33567287635171084]","[3, 0.4697264953958248]","[1, 0.07949818697081398]","[1, 1.0]","[1, 1.0]","[2, 0.051584833311474204]","[1, 1.0]","[4, 0.6820072510848125]","[3, 0.09579003051377519]","[1, 0.043006336725669884]"
robot text,"[5, 0.3417433487532518]","[3, 0.058710759850841635]","[3, 0.5717604570464632]","[5, 0.11327676383099197]","[4, 0.07361828032335847]","[5, 0.44010370317882175]","[3, 0.22473842190027202]","[2, 0.020913363589893857]","[2, 0.005737683809847947]","[1, 0.10739687263228581]","[1, 1.0]","[3, 0.284071714031356]","[5, 0.8539878085075312]","[2, 0.24438483898108077]","[3, 0.03381045811908876]"
start-end,"[3, 3.440141970370455e-08]","[1, 0.06190820654270175]","[1, 1.0]","[5, 0.0009434346548275974]","[5, 0.00012075308572437309]","[1, 0.9983269308689865]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.01454563948748507]","[1, 0.9999997633918426]","[5, 1.2539314119617685e-13]","[1, 0.4391536443627094]","[5, 0.9992511758122853]"
Conversational turns,"[4, 0.11721496974822548]","[1, 1.0]","[2, 0.09983905852973737]","[4, 0.29401674775994024]","[3, 0.16854677628922177]","[3, 0.46625722791768176]","[3, 0.024025541743145615]","[4, 0.8194763361030105]","[1, 1.0]","[1, 1.0]","[5, 0.08062858730875257]","[4, 2.041764266803032e-09]","[1, 1.0]","[1, 0.3880890541352987]","[5, 0.14290245407876118]"
Joint attention,"[5, 0.006484723778288942]","[1, 0.8908312208622637]","[4, 0.7988272319900825]","[1, 0.13471270326951829]","[1, 0.4198340303558813]","[5, 0.6431601270270197]","[2, 0.0001866338942147819]","[1, 0.3341739096208428]","[1, 0.9024895838389254]","[1, 0.19929811356348728]","[3, 0.04571457369350435]","[3, 0.39187538755632845]","[3, 0.31316725256473527]","[1, 1.0]","[2, 0.022457376094738975]"
Mutual gaze,"[4, 1.362237655336856e-07]","[4, 0.6334780083978372]","[4, 0.7861742927614018]","[1, 0.06603853532669417]","[1, 0.17752985241215577]","[2, 0.4759289984355909]","[2, 0.05630983071110484]","[3, 0.5967967318039387]","[1, 1.0]","[4, 0.029147734238107154]","[2, 0.1626185815098885]","[4, 0.01840781832439185]","[2, 0.11105428705770948]","[2, 0.01368634671586969]","[1, 1.0]"
